state,district,market,commodity,min_price,max_price,modal_price,date
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2064,2476,2235,2026-02-20
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1980,2388,2227,2026-02-21
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,1993,2573,2262,2026-02-22
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2093,2424,2251,2026-02-23
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2005,2460,2233,2026-02-24
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2025,2422,2236,2026-02-25
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2001,2429,2230,2026-02-26
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2048,2535,2258,2026-02-27
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2066,2400,2257,2026-02-28
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2047,2398,2234,2026-03-01
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2074,2466,2252,2026-03-02
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2006,2486,2261,2026-03-03
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2052,2516,2284,2026-03-04
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2054,2419,2251,2026-03-05
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2026,2462,2289,2026-03-06
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2015,2479,2283,2026-03-07
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2097,2455,2256,2026-03-08
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2038,2508,2273,2026-03-09
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2029,2613,2295,2026-03-10
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2116,2458,2285,2026-03-11
Andhra Pradesh,Andhra Pradesh Central,Andhra Pradesh APMC,Rice,2142,2465,2313,2026-03-12
